Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 04:20:06
Ejecutando Spotify_List: 05/11/2022 04:20:16
Ejecutando Spotify_List: 05/11/2022 04:20:26
Ejecutando Spotify_List: 05/11/2022 04:20:36
Ejecutando Spotify_List: 05/11/2022 04:20:46
Ejecutando Spotify_List: 05/11/2022 04:20:56
Ejecutando Spotify_List: 05/11/2022 04:21:06
Ejecutando Spotify_List: 05/11/2022 04:21:16
Ejecutando Spotify_List: 05/11/2022 04:21:26
Ejecutando Spotify_List: 05/11/2022 04:21:36
Ejecutando Spotify_List: 05/11/2022 04:21:46
Ejecutando Spotify_List: 05/11/2022 04:21:56
Ejecutando Spotify_List: 05/11/2022 04:22:06
Ejecutando Spotify_List: 05/11/2022 04:22:16
Ejecutando Spotify_List: 05/11/2022 04:22:26
Ejecutando Spotify_List: 05/11/2022 04:22:36
Ejecutando Spotify_List: 05/11/2022 04:22:46
Ejecutando Spotify_List: 05/11/2022 04:22:56
Ejecutando Spotify_List: 05/11/2022 04:23:06
Ejecutando Spotify_List: 05/11/2022 04:23:16
Ejecutando Spotify_List: 05/11/2022 04:23:26
Ejecutando Spotify_List: 05/11/2022 04:23:36
Ejecutando Spotify_List: 05/11/2022 04:23:46
Ejecutando Spotify_List: 05/11/2022 04:23:56
Ejecutando Spotify_List: 05/11/2022 04:24:06
Ejecutando Spotify_List: 05/11/2022 04:24:16
Ejecutando Spotify_List: 05/11/2022 04:24:26
Ejecutando Spotify_List: 05/11/2022 04:30:34
Ejecutando Spotify_List: 05/11/2022 04:30:44
Ejecutando Spotify_List: 05/11/2022 04:40:05
Ejecutando Spotify_List: 05/11/2022 04:40:15
Ejecutando Spotify_List: 05/11/2022 04:40:25
Ejecutando Spotify_List: 05/11/2022 04:40:35
Ejecutando Spotify_List: 05/11/2022 04:40:45
Ejecutando Spotify_List: 05/11/2022 04:40:55
Ejecutando Spotify_List: 05/11/2022 04:41:05
Ejecutando Spotify_List: 05/11/2022 04:41:14
Ejecutando Spotify_List: 05/11/2022 04:41:24
Ejecutando Spotify_List: 05/11/2022 04:41:34
Ejecutando Spotify_List: 05/11/2022 04:41:44
Ejecutando Spotify_List: 05/11/2022 04:41:55
Ejecutando Spotify_List: 05/11/2022 04:42:05
Ejecutando Spotify_List: 05/11/2022 04:42:15
Ejecutando Spotify_List: 05/11/2022 04:42:27
Ejecutando Spotify_List: 05/11/2022 04:42:34
Ejecutando Spotify_List: 05/11/2022 04:42:44
Ejecutando Spotify_List: 05/11/2022 04:42:54
Ejecutando Spotify_List: 05/11/2022 04:43:04
Ejecutando Spotify_List: 05/11/2022 04:43:14
Ejecutando Spotify_List: 05/11/2022 04:43:24
Ejecutando Spotify_List: 05/11/2022 04:43:35
Ejecutando Spotify_List: 05/11/2022 04:43:44
Ejecutando Spotify_List: 05/11/2022 04:43:54
Ejecutando Spotify_List: 05/11/2022 04:44:04
Ejecutando Spotify_List: 05/11/2022 04:44:15
Ejecutando Spotify_List: 05/11/2022 04:44:24
Ejecutando Spotify_List: 05/11/2022 04:44:34
Ejecutando Spotify_List: 05/11/2022 04:44:44
Ejecutando Spotify_List: 05/11/2022 04:44:54
Ejecutando Spotify_List: 05/11/2022 04:45:05
Ejecutando Spotify_List: 05/11/2022 04:45:15
Ejecutando Spotify_List: 05/11/2022 04:45:25
Ejecutando Spotify_List: 05/11/2022 04:45:35
Ejecutando Spotify_List: 05/11/2022 04:45:45
Ejecutando Spotify_List: 05/11/2022 04:45:55
Ejecutando Spotify_List: 05/11/2022 04:46:04
Ejecutando Spotify_List: 05/11/2022 04:46:15
Ejecutando Spotify_List: 05/11/2022 04:46:25
Ejecutando Spotify_List: 05/11/2022 04:46:34
Ejecutando Spotify_List: 05/11/2022 04:46:45
Ejecutando Spotify_List: 05/11/2022 04:46:54
Ejecutando Spotify_List: 05/11/2022 04:47:04
Ejecutando Spotify_List: 05/11/2022 04:47:14
Ejecutando Spotify_List: 05/11/2022 04:47:25
Ejecutando Spotify_List: 05/11/2022 04:47:35
Ejecutando Spotify_List: 05/11/2022 04:47:44
Ejecutando Spotify_List: 05/11/2022 04:47:55
Ejecutando Spotify_List: 05/11/2022 04:48:05
Ejecutando Spotify_List: 05/11/2022 04:48:15
Ejecutando Spotify_List: 05/11/2022 04:48:24
Ejecutando Spotify_List: 05/11/2022 04:48:34
Ejecutando Spotify_List: 05/11/2022 04:48:44
Ejecutando Spotify_List: 05/11/2022 04:48:54
Ejecutando Spotify_List: 05/11/2022 04:49:04
Ejecutando Spotify_List: 05/11/2022 04:49:14
Ejecutando Spotify_List: 05/11/2022 04:49:24
Ejecutando Spotify_List: 05/11/2022 04:49:35
Ejecutando Spotify_List: 05/11/2022 04:49:44
Ejecutando Spotify_List: 05/11/2022 04:49:55
Ejecutando Spotify_List: 05/11/2022 04:50:04
Ejecutando Spotify_List: 05/11/2022 04:50:14
Ejecutando Spotify_List: 05/11/2022 04:50:24
Ejecutando Spotify_List: 05/11/2022 04:50:35
Ejecutando Spotify_List: 05/11/2022 04:50:44
Ejecutando Spotify_List: 05/11/2022 04:50:55
Ejecutando Spotify_List: 05/11/2022 04:51:04
Ejecutando Spotify_List: 05/11/2022 04:51:14
Ejecutando Spotify_List: 05/11/2022 04:51:25
Ejecutando Spotify_List: 05/11/2022 04:51:34
Ejecutando Spotify_List: 05/11/2022 04:51:44
Ejecutando Spotify_List: 05/11/2022 04:51:54
Ejecutando Spotify_List: 05/11/2022 04:52:05
Ejecutando Spotify_List: 05/11/2022 04:52:15
Ejecutando Spotify_List: 05/11/2022 04:52:24
Ejecutando Spotify_List: 05/11/2022 04:52:34
Ejecutando Spotify_List: 05/11/2022 04:52:45
Ejecutando Spotify_List: 05/11/2022 04:52:55
Ejecutando Spotify_List: 05/11/2022 04:53:04
Ejecutando Spotify_List: 05/11/2022 04:53:15
Ejecutando Spotify_List: 05/11/2022 04:53:24
Ejecutando Spotify_List: 05/11/2022 04:53:34
Ejecutando Spotify_List: 05/11/2022 04:53:44
Ejecutando Spotify_List: 05/11/2022 04:53:55
Ejecutando Spotify_List: 05/11/2022 04:54:04
Ejecutando Spotify_List: 05/11/2022 04:54:14
Ejecutando Spotify_List: 05/11/2022 04:54:25
Ejecutando Spotify_List: 05/11/2022 04:54:35
Ejecutando Spotify_List: 05/11/2022 04:54:45
Ejecutando Spotify_List: 05/11/2022 04:54:55
Ejecutando Spotify_List: 05/11/2022 04:55:05
Ejecutando Spotify_List: 05/11/2022 04:55:14
Ejecutando Spotify_List: 05/11/2022 04:55:25
Ejecutando Spotify_List: 05/11/2022 04:55:34
Ejecutando Spotify_List: 05/11/2022 04:55:46
Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 04:58:13
Ejecutando Spotify_List: 05/11/2022 04:58:24
Ejecutando Spotify_List: 05/11/2022 04:58:33
Ejecutando Spotify_List: 05/11/2022 04:58:43
Ejecutando Spotify_List: 05/11/2022 04:58:54
Ejecutando Spotify_List: 05/11/2022 04:59:11
Ejecutando Spotify_List: 05/11/2022 04:59:13
Ejecutando Spotify_List: 05/11/2022 04:59:23
Ejecutando Spotify_List: 05/11/2022 04:59:33
Ejecutando Spotify_List: 05/11/2022 04:59:43
Ejecutando Spotify_List: 05/11/2022 04:59:53
Ejecutando Spotify_List: 05/11/2022 05:00:03
Ejecutando Spotify_List: 05/11/2022 05:00:13
Ejecutando Spotify_List: 05/11/2022 05:00:23
Ejecutando Spotify_List: 05/11/2022 05:00:33
Ejecutando Spotify_List: 05/11/2022 05:00:43
Ejecutando Spotify_List: 05/11/2022 05:00:53
Ejecutando Spotify_List: 05/11/2022 05:01:04
Ejecutando Spotify_List: 05/11/2022 05:01:13
Ejecutando Spotify_List: 05/11/2022 05:01:23
Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 05:14:31
Ejecutando Spotify_List: 05/11/2022 05:14:42
Ejecutando Spotify_List: 05/11/2022 05:14:52
Ejecutando Spotify_List: 05/11/2022 05:15:02
Ejecutando Spotify_List: 05/11/2022 05:15:12
Ejecutando Spotify_List: 05/11/2022 05:15:22
Ejecutando Spotify_List: 05/11/2022 05:15:31
Ejecutando Spotify_List: 05/11/2022 05:15:41
Ejecutando Spotify_List: 05/11/2022 05:15:51
Ejecutando Spotify_List: 05/11/2022 05:16:01
Ejecutando Spotify_List: 05/11/2022 05:16:11
Ejecutando Spotify_List: 05/11/2022 05:16:21
Ejecutando Spotify_List: 05/11/2022 05:16:31
Ejecutando Spotify_List: 05/11/2022 05:16:41
Ejecutando Spotify_List: 05/11/2022 05:16:51
Ejecutando Spotify_List: 05/11/2022 05:17:01
Ejecutando Spotify_List: 05/11/2022 05:17:11
Ejecutando Spotify_List: 05/11/2022 05:17:21
Ejecutando Spotify_List: 05/11/2022 05:17:31
Ejecutando Spotify_List: 05/11/2022 05:17:41
Ejecutando Spotify_List: 05/11/2022 05:17:52
Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 05:18:47
Ejecutando Spotify_List: 05/11/2022 05:18:57
Ejecutando Spotify_List: 05/11/2022 05:19:06
Ejecutando Spotify_List: 05/11/2022 05:19:17
Ejecutando Spotify_List: 05/11/2022 05:19:27
Ejecutando Spotify_List: 05/11/2022 05:19:39
Ejecutando Spotify_List: 05/11/2022 05:19:46
Ejecutando Spotify_List: 05/11/2022 05:19:56
Ejecutando Spotify_List: 05/11/2022 05:20:06
Ejecutando Spotify_List: 05/11/2022 05:20:16
Ejecutando Spotify_List: 05/11/2022 05:20:26
Ejecutando Spotify_List: 05/11/2022 05:20:36
Ejecutando Spotify_List: 05/11/2022 05:20:46
Ejecutando Spotify_List: 05/11/2022 05:20:56
Ejecutando Spotify_List: 05/11/2022 05:21:06
Ejecutando Spotify_List: 05/11/2022 05:21:16
Ejecutando Spotify_List: 05/11/2022 05:21:26
Ejecutando Spotify_List: 05/11/2022 05:21:36
